Hora,Segunda-feira,Terça-feira,Quarta-feira,Quinta-feira,Sexta-feira,Sábado,Domingo
07:00,Acordar,Acordar,Acordar,Acordar,Acordar,Acordar,Acordar
08:00,Café da Manhã,Café da Manhã,Café da Manhã,Café da Manhã,Café da Manhã,Café da Manhã,Café da Manhã
09:00,Reunião de Trabalho,Trabalho Remoto,Reunião de Trabalho,Trabalho Remoto,Reunião de Trabalho,Folga,Folga
10:00,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Folga,Folga
11:00,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Folga,Folga
12:00,Almoço,Almoço,Almoço,Almoço,Almoço,Folga,Folga
13:00,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Folga,Folga
14:00,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Folga,Folga
15:00,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Folga,Folga
16:00,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Folga,Folga
17:00,Reunião de Equipe,Trabalho Remoto,Reunião de Equipe,Trabalho Remoto,Reunião de Equipe,Folga,Folga
18:00,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Trabalho Remoto,Folga,Folga
19:00,Jantar,Jantar,Jantar,Jantar,Jantar,Folga,Folga
20:00,Lazer,Lazer,Lazer,Lazer,Lazer,Lazer,Lazer
21:00,Dormir,Dormir,Dormir,Dormir,Dormir,Dormir,Dormir
